"stopId","stopName","stopLat","stopLon","wheelchairBoarding"
1,"Baselga Del Bondone",46.078325,11.047358,2
2,"Baselga Del Bondone",46.078581,11.047541,2
3,"Belvedere",46.044406,11.105342,0
4,"Lamar Ponte Avisio",46.13462,11.110914,2
5,"Sp 85 Bivio Sopramonte",46.085226,11.069313,2
7,"Maso Bolleri",46.102485,11.124174,2
8,"Maso Bolleri",46.102234,11.12394,2
9,"Borino",46.067115,11.165639,2
10,"Cadine Strada Gardesana",46.08863,11.065018,1
12,"Canova Paludi",46.09917,11.109314,1
13,"Gardolo 'Materna Paludi'",46.103846,11.108235,2
14,"Centro Commerciale",46.091584,11.105652,0
15,"Asiago S.Bartolameo",46.047972,11.137456,1
16,"Asiago Banala",46.047681,11.137741,1
17,"Cognola 'Toresela'",46.078904,11.153473,2
18,"Cognola 'Toresela'",46.078863,11.153929,2
19,"Cognola Bivio Civezzano",46.080613,11.158419,2
22,"Cognola Grezoni",46.075911,11.146833,2
23,"Cognola Grezoni",46.076012,11.146613,2
25,"Cognola S.Vito",46.075696,11.140797,2
26,"Cognola S.Vito",46.075623,11.141786,2
23,"Ziano di Fiemme-Alla Roda",46.288617,11.569941,0
5632,"Sopramonte-Maso Petoci",46.066913,11.059466,0
5633,"Sopramonte-Novai",46.067659,11.061524,0
5866,"Candriai-Sp 85 Km. 9.4",46.062236,11.079694,0
5867,"Candriai-Erica.",46.063071,11.08226,0
5868,"Candriai-Sp 85.",46.063684,11.081701,0
5869,"Candriai Malga Brigolina",46.06651,11.076299,0
5194,"S.Nazario",45.838412,11.690546,0
6117,"Coltura",46.058271,10.793851,0
1837,"Lavarone-Hotel Du Lac",45.937154,11.255227,0
2330,"Loc. Landrom Civ. 1",45.80513,10.94076,0
1727,"Tremalzo Bivio",45.864065,10.645069,0
4038,"Arco P. Foro Boario",45.918164,10.887945,0
5967,"Pelugo",46.087322,10.723226,0
6106,"Masi di Sotto-Deposito Tt",45.971235,10.973974,0
6119,"Speccheri Sp 219 Civ.1",45.766545,11.128088,0
557,"Cavalese-Case Itea",46.289444,11.4692,0
1606,"Storo-Al Melograno",45.850363,10.575059,0
2767,"Staineri",45.797307,11.09368,0
2293,"Ss.240 'Millennium Nord'",45.87032,11.016768,2
56,"Penia Alta",46.458443,11.799745,0
535,"Trento-Via Lorenzoni",46.05838,11.122963,0
537,"Trento-Via S.Francesco",46.066636,11.126202,0
590,"Baselga di Pine'-Lago",46.135502,11.249837,0
958,"S.Mauro",46.125272,11.223917,0
959,"Valcava",46.206286,11.31197,0
1656,"Dos Doa",46.054273,10.897553,0
1679,"Dos Doa",46.054075,10.89727,0
2218,"Bedollo-Inc.Osvaldo/Martinati",46.165825,11.298951,0
2220,"Bedollo-Inc.Via S.Osvaldo/Pec",46.168357,11.302237,0
2315,"Tione-Istituto",46.034811,10.728764,0
2321,"Vignole",45.908948,10.901506,0
2384,"Caloneghi",46.198208,11.318204,0
2574,"Lamar",46.12596,11.107593,0
2677,"Cunevo",46.285934,11.037961,0
2759,"Dovena",46.454276,11.130506,0
2783,"Villini",46.417202,11.190257,0
2787,"Passo S.Valentino",45.78311,10.912169,0
3037,"Predazzo-I.T.C.",46.31091,11.59902,0
6068,"S.Silvestro",46.131439,11.769023,0
3134,"Molina di Ledro-Sc.Elementare",45.87084,10.774516,0
3291,"S.Ilario I.T.I.",45.910555,11.041964,0
3319,"Tret Nord",46.480185,11.14211,0
3497,"Polsa",45.781205,10.940804,0
3576,"Baselga di Pinè-Sc.Medie",46.128335,11.244239,0
3597,"Pergine V. Bivio Via Industria",46.069437,11.237763,0
3776,"Tonadico-Scuole Elementari",46.179527,11.83566,0
3950,"Lausen P.Le Impresa Grisotto",46.150588,11.735762,0
4091,"Rovereto-Santuario M.Del Monte",45.879717,11.041039,0
6079,"Tesero-Bivio Via Scandolagia",46.30116,11.505671,0
4147,"Mezzomonte Finito Paese Km 6.3",45.918456,11.138418,0
4239,"Loc. Ischia Civ. 4",46.173243,11.105461,0
4289,"M.Bardo'Colonna Vasellame'",46.20036,11.100587,0
4415,"Cazzano Via Degasperi/Peluso",45.819169,10.967006,0
4483,"Tonale-Colonia Vigili",46.252686,10.538942,0
3995,"Pomarolo-Via Rovereto",45.923522,11.041614,0
4679,"Pergine Vals.-Sc.Garbari",46.066251,11.229915,0
4716,"Passo Cereda Ss 347 Km7.2",46.191933,11.896861,0
4856,"Castelletto 'Ponte Rinassico'",46.247843,11.062196,0
4859,"Canale-Via Delle Stonfe",46.048812,11.233387,0
4880,"Mezzolombardo-Bivio Fai",46.223117,11.081667,0
4881,"Rovereto Via S.Giovanni Bosco",45.891524,11.041678,0
4896,"Dovena-Via Roma Civ. 4",46.456546,11.127469,0
5252,"Cavareno Via Roen 59",46.400523,11.139886,0
5103,"Levico T. Polo Scolastico",46.013611,11.3063,0
5131,"Spiazzo Rend. Colarin Civ. 147",46.10917,10.746099,0
5382,"Malgolo Piazza De Betta",46.378987,11.091228,0
5533,"Andalo Municipio",46.16508,11.003309,0
5726,"Mezzocorona-P.Le Leonardelli",46.217182,11.124917,0
5746,"Civezzano-Strada Alla Fersina",46.088597,11.18439,0
5848,"Costa di Terragnolo Parcheggio",45.88107,11.149818,0
5907,"Vigo di Ton Sp. 203/Sp.124",46.265464,11.077677,0
5914,"Lizzanella-Via Del Garda Lidl",45.872831,11.02843,0
2297,"Sano",45.846341,10.951531,0
89,"Melta Centro",46.099063,11.11927,2
145,"Mesiano 'Fac. Ingegneria'",46.067138,11.139355,1
429,"Gardolo Soprasasso",46.105504,11.107295,1
625,"S.Agnese Via Delle Scornie",46.106519,11.186159,0
627,"Penedallo Via Alle Praderie",46.102875,11.191745,0
1129,"Lizzanella",45.875635,11.031726,0
3124,"Rovereto-Via Zeni",45.89048,11.032628,0
3325,"Rovereto-Ist. Don Milani",45.894292,11.032808,0
5239,"Viote Golfo Sulla Sp85",46.020934,11.041724,0
5400,"Cismon Del Grappa-Fs",45.919665,11.729849,0
6060,"Fiera di P. Via Roma 75 R",46.182427,11.831611,0
443,"Torre Verde Galasso",46.070658,11.122787,2
1340,"Sp.2 Noriglio",45.884371,11.069842,2
1381,"Via Magazol Via Cimarosa",45.899835,11.039968,2
1394,"Via Pasubio Viale Vittoria",45.887266,11.030142,2
1395,"Via Pasubio Via Unione",45.887505,11.024737,2
